index,medicament,avis_clean
0,a-313,avec ca plus de carence
1,a-313,a ce jour mars 2025 toujours en rupture pour une duree indeterminee
2,abasaglar,abasaglar provoque chez moi des douleurs persistantes sur tout le corps cela fait un an que je le prends et j aimerais savoir si d autres personnes ressentent cet effet secondaire epuisant
3,abasaglar,remplace par lantus car injection douloureuse avec abasaglar
4,abasaglar,je suis diabetique depuis l age de 5 mois 1982 la basaglar m a ete mise en hospitalisation l annee derniere beaucoup d hypoglycemie et coma diabetique nocturne pas satisfaite du tout je me reveille en hypo oblige de me re sucree et ensuite ma glycemie monte en hyper voir meme sans hypo alors que j ai une activite physique j ai une injection par 2 h et oblige de me faire de la rapide alors que je devrai sans avoir manger avoir un bon resultat
5,abasaglar,moi 1 insuline le soir 24 unite et mon diabete et bon
6,abasaglar,me conviens a litteralement changer mon diabete hg de 5 7 le 6 janvier 2022
7,abasaglar,pour moi c est pas mal
8,abasaglar,tres bien
9,abasaglar,tres efficace
10,abasaglar,pour moi c est l insuline qui me convient 1 piqure par jour et diabete equilibre
11,abasaglar,tres bien
12,abilify,addiction immediate sevrage impossible un conseil ne jamais commencer
13,abilify,bonjour je prends de l abilify et je souhaiterais savoir chez ceux qui le prennent et chez qui ca ouvre l appetit si vous aviez faim tout le temps et ou tous les jours de la meme facon chez moi il y a des jours ou j ai tres faim et d autres ou je ne pense pas a la nourriture je me demande donc si ma faim provient du medicament ou de moi merci pour vos reponses
14,abilify,bonjour ici voila suite a une depression avec idee noires que j ai eu depuis janvier 2015 j etais sous paroxetine 20 mg et abilify 10 mg en juillet 2020 je suis passe a 5 mg cependant des fois y a des jours je ne prend pas abilify et je suis mieux concentrer en formation et tout d ailleurs je donnerai tout pour l arreter apres je me dis faut quand meme que je le reprenne mais depuis avril 2024 je suis passe de 5mg a 2 5 mg mais j aimerais sincerement l arreter completement j ai remarque que je tremblais trop en le prenant je stresse pour rien je suis a l ouest j ai du mal a me concentrer etc a votre avis c est possible arretez ce medicament un jour merci d avance
